,Violation Code
509917,38
509918,08
509919,01
509920,38
509921,38
509922,06
509923,07
509924,01
509925,01
509926,01
509927,38
509928,01
509929,18
509930,07
509931,34
509932,32
509933,20
509934,01
509935,01
509936,07
509937,12
509938,38
509939,18
509940,38
509941,01
509942,33
509943,07
509944,32
509945,08
509946,01
509947,01
509948,10
509949,34
509950,01
509951,34
509952,01
509953,12
509954,28
509955,29
509956,38
509957,08
509958,01
509959,14
509960,38
509961,11
509962,35
509963,34
509964,38
509965,38
509966,01
509967,38
509968,32
509969,07
509970,28
509971,01
509972,01
509973,01
509974,38
509975,38
509976,01
509977,01
509978,42
509979,32
509980,16
509981,01
509982,38
509983,08
509984,20
509985,01
509986,37
509987,01
509988,01
509989,28
509990,24
509991,01
509992,32
509993,01
509994,01
509995,38
509996,10
509997,10
509998,32
509999,01
510000,32
510001,07
510002,01
510003,14
510004,08
510005,10
510006,38
510007,42
510008,38
510009,38
510010,12
510011,01
510012,28
510013,38
510014,15
510015,02
510016,01
510017,02
510018,12
510019,28
510020,01
510021,34
510022,11
510023,02
510024,32
510025,32
510026,01
510027,01
510028,11
510029,11
510030,38
510031,07
510032,11
510033,01
510034,38
510035,38
510036,18
510037,01
510038,10
510039,11
510040,01
510041,27
510042,32
510043,01
510044,01
510045,12
510046,38
510047,01
510048,33
510049,28
510050,28
510051,01
510052,01
510053,18
510054,29
510055,38
510056,01
510057,01
510058,01
510059,33
510060,01
510061,10
510062,07
510063,01
510064,14
510065,01
510066,33
510067,32
510068,01
510069,01
510070,38
510071,38
510072,11
510073,01
510074,01
510075,07
510076,01
510077,01
510078,38
510079,01
510080,01
510081,07
510082,01
510083,33
510084,08
510085,29
510086,01
510087,01
510088,32
510089,38
510090,14
510091,20
510092,28
510093,28
510094,16
510095,01
510096,20
510097,01
510098,38
510099,24
510100,08
510101,09
510102,07
510103,38
510104,32
510105,01
510106,01
510107,33
510108,27
510109,33
510110,01
510111,01
510112,07
510113,08
510114,01
510115,12
510116,01
510117,28
510118,38
510119,02
510120,10
510121,01
510122,18
510123,08
510124,10
510125,01
510126,33
510127,38
510128,38
510129,10
510130,01
510131,27
510132,07
510133,01
510134,01
510135,18
510136,20
510137,24
510138,27
510139,38
510140,38
510141,38
510142,28
510143,32
510144,09
510145,01
510146,01
510147,33
510148,38
510149,01
510150,11
510151,11
510152,07
510153,01
510154,33
510155,01
510156,38
510157,20
510158,38
510159,28
510160,01
510161,23
510162,01
510163,01
510164,06
510165,16
510166,38
510167,36
510168,10
510169,32
510170,01
510171,01
510172,01
510173,10
510174,28
510175,07
510176,10
510177,07
510178,07
510179,38
510180,27
510181,20
510182,08
510183,10
510184,10
510185,07
510186,38
510187,01
510188,01
510189,02
510190,38
510191,08
510192,01
510193,01
510194,28
510195,38
510196,01
510197,01
510198,38
510199,42
510200,02
510201,28
510202,38
510203,06
510204,01
510205,20
510206,32
510207,02
510208,09
510209,01
510210,38
510211,16
510212,38
510213,11
510214,01
510215,01
510216,38
510217,01
510218,01
510219,01
510220,18
510221,38
510222,01
510223,02
510224,01
510225,31
510226,17
510227,38
510228,01
510229,01
510230,01
510231,28
510232,01
510233,28
510234,14
510235,01
510236,01
510237,01
510238,38
510239,06
510240,32
510241,06
510242,28
510243,33
510244,20
510245,38
510246,01
510247,32
510248,01
510249,32
510250,06
510251,18
510252,28
510253,15
510254,11
510255,28
510256,32
510257,01
510258,08
510259,01
510260,28
510261,01
510262,01
510263,38
510264,16
510265,28
510266,08
510267,01
510268,34
510269,18
510270,38
510271,10
510272,01
510273,11
510274,18
510275,28
510276,32
510277,01
510278,01
510279,24
510280,01
510281,32
510282,11
510283,38
510284,32
510285,01
510286,01
510287,17
510288,01
510289,18
510290,33
510291,01
510292,01
510293,18
510294,01
510295,01
510296,01
510297,28
510298,33
510299,07
510300,01
510301,38
510302,01
510303,38
510304,01
510305,32
510306,20
510307,10
510308,27
510309,20
510310,32
510311,28
510312,01
510313,01
510314,10
510315,10
510316,11
510317,01
510318,08
510319,02
510320,01
510321,38
510322,01
510323,42
510324,12
510325,28
510326,11
510327,20
510328,32
510329,32
510330,01
510331,07
510332,01
510333,01
510334,38
510335,38
510336,09
510337,28
510338,01
510339,28
510340,20
510341,01
510342,01
510343,11
510344,27
510345,28
510346,01
510347,16
510348,38
510349,28
510350,01
510351,01
510352,01
510353,17
510354,38
510355,38
510356,01
510357,28
510358,01
510359,18
510360,01
510361,33
510362,01
510363,38
510364,01
510365,28
510366,01
510367,01
510368,07
510369,28
510370,06
510371,01
510372,11
510373,01
510374,32
510375,01
510376,38
510377,09
510378,08
510379,01
510380,01
510381,11
510382,01
510383,01
510384,20
510385,33
510386,38
510387,01
510388,18
510389,28
510390,01
510391,20
510392,02
510393,02
510394,20
510395,38
510396,01
510397,01
510398,01
510399,07
510400,38
510401,28
510402,01
510403,18
510404,01
510405,10
510406,28
510407,07
510408,32
510409,01
510410,01
510411,01
510412,20
510413,10
510414,07
510415,20
510416,28
510417,01
510418,02
510419,20
510420,07
510421,01
510422,34
510423,01
510424,01
510425,01
510426,07
510427,01
510428,32
510429,01
510430,07
510431,01
510432,01
510433,28
510434,02
510435,01
510436,28
510437,32
510438,01
510439,38
510440,29
510441,01
510442,20
510443,32
510444,34
510445,01
510446,01
510447,01
510448,33
510449,38
510450,01
510451,28
510452,07
510453,01
510454,01
510455,32
510456,18
510457,38
510458,28
510459,01
510460,01
510461,20
510462,01
510463,20
510464,01
510465,01
510466,28
510467,01
510468,27
510469,32
510470,01
510471,09
510472,08
510473,27
510474,38
510475,01
510476,23
510477,01
510478,38
510479,23
510480,38
510481,38
510482,01
510483,01
510484,11
510485,38
510486,01
510487,38
510488,01
510489,28
510490,01
510491,20
510492,01
510493,01
510494,16
510495,11
510496,02
510497,11
510498,33
510499,01
510500,01
510501,01
510502,01
510503,38
510504,01
510505,01
510506,28
510507,07
510508,01
510509,07
510510,32
510511,18
510512,06
510513,29
510514,10
510515,10
510516,01
510517,07
510518,01
510519,01
510520,01
510521,34
510522,01
510523,01
510524,11
510525,01
510526,01
510527,33
510528,29
510529,32
510530,07
510531,07
510532,01
510533,33
510534,09
510535,01
510536,20
510537,01
510538,01
510539,06
510540,01
510541,18
510542,11
510543,01
510544,02
510545,08
510546,20
510547,28
510548,01
510549,01
510550,01
510551,07
510552,14
510553,27
510554,08
510555,38
510556,01
510557,01
510558,01
510559,38
510560,28
510561,15
510562,38
510563,20
510564,01
510565,32
510566,12
510567,38
510568,01
510569,28
510570,01
510571,09
510572,08
510573,01
510574,20
510575,38
510576,01
510577,33
510578,01
510579,33
510580,33
510581,33
510582,27
510583,01
510584,28
510585,01
510586,20
510587,15
510588,01
510589,20
510590,32
510591,01
510592,01
510593,07
510594,32
510595,07
510596,38
510597,01
510598,01
510599,01
510600,18
510601,07
510602,07
510603,14
510604,01
510605,01
510606,01
510607,18
510608,33
510609,20
510610,27
510611,38
510612,07
510613,36
510614,09
510615,01
510616,32
510617,20
510618,29
510619,01
510620,01
510621,38
510622,01
510623,08
510624,07
510625,01
510626,38
510627,28
510628,02
510629,01
510630,34
510631,01
510632,16
510633,17
510634,10
510635,38
510636,01
510637,01
510638,38
510639,33
510640,02
510641,07
510642,18
510643,01
510644,20
510645,02
510646,01
510647,08
510648,01
510649,01
510650,08
510651,32
510652,01
510653,18
510654,27
510655,24
510656,01
510657,01
510658,28
510659,32
510660,07
510661,38
510662,09
510663,38
510664,11
510665,27
510666,38
510667,01
510668,28
510669,01
510670,42
510671,02
510672,13
510673,33
510674,10
510675,38
510676,01
510677,11
510678,27
510679,01
510680,10
510681,01
510682,38
510683,01
510684,10
510685,09
510686,01
510687,01
510688,20
510689,01
510690,07
510691,01
510692,11
510693,01
510694,01
510695,07
510696,01
510697,06
510698,38
510699,28
510700,38
510701,01
510702,02
510703,09
510704,01
510705,01
510706,20
510707,06
510708,06
510709,20
510710,01
510711,28
510712,07
510713,01
510714,08
510715,20
510716,33
510717,01
510718,38
510719,33
510720,38
510721,01
510722,01
510723,14
510724,01
510725,28
510726,01
510727,01
510728,32
510729,01
510730,32
510731,07
510732,01
510733,01
510734,27
510735,01
510736,28
510737,16
510738,07
510739,07
510740,33
510741,38
510742,32
510743,01
510744,23
510745,18
510746,01
510747,07
510748,28
510749,02
510750,33
510751,01
510752,01
510753,28
510754,07
510755,38
510756,01
510757,01
510758,01
510759,01
510760,38
510761,20
510762,07
510763,08
510764,07
510765,14
510766,20
510767,01
510768,17
510769,20
510770,29
510771,07
510772,09
510773,01
510774,38
510775,28
510776,01
510777,07
510778,38
510779,01
510780,38
510781,07
510782,01
510783,01
510784,38
510785,27
510786,27
510787,38
510788,01
510789,20
510790,38
510791,28
510792,29
510793,38
510794,32
510795,01
510796,07
510797,02
510798,01
510799,28
510800,01
510801,01
510802,32
510803,33
510804,01
510805,01
510806,14
510807,38
510808,01
510809,01
510810,20
510811,01
510812,18
510813,38
510814,01
510815,01
510816,18
510817,01
510818,23
510819,09
510820,34
510821,38
510822,38
510823,01
510824,01
510825,16
510826,01
510827,38
510828,38
510829,27
510830,29
510831,20
510832,38
510833,33
510834,01
510835,38
510836,02
510837,14
510838,07
510839,28
510840,01
510841,02
510842,01
510843,01
510844,01
510845,38
510846,38
510847,14
510848,32
510849,10
510850,08
510851,02
510852,16
510853,38
510854,32
510855,38
510856,01
510857,10
510858,01
510859,28
510860,01
510861,01
510862,01
510863,01
510864,38
510865,01
510866,01
510867,01
510868,17
510869,01
510870,01
510871,38
510872,14
510873,38
510874,28
510875,02
510876,24
510877,07
510878,20
510879,08
510880,17
510881,12
510882,01
510883,01
510884,01
510885,07
510886,33
510887,28
510888,01
510889,24
510890,38
510891,01
510892,33
510893,07
510894,15
510895,32
510896,07
510897,01
510898,01
510899,13
510900,08
510901,01
510902,01
510903,38
510904,01
510905,01
510906,28
510907,28
510908,01
510909,01
510910,33
510911,11
510912,01
510913,11
510914,01
510915,01
510916,32
510917,38
510918,17
510919,28
510920,08
510921,33
510922,28
510923,01
510924,28
510925,01
510926,01
510927,01
510928,01
510929,09
510930,01
510931,07
510932,01
510933,01
510934,01
510935,01
510936,01
510937,38
510938,33
510939,38
510940,01
510941,32
510942,28
510943,33
510944,33
510945,01
510946,01
510947,16
510948,02
510949,01
510950,16
510951,38
510952,01
510953,07
510954,28
510955,01
510956,01
510957,02
510958,01
510959,01
510960,33
510961,20
510962,38
510963,01
510964,20
510965,01
510966,01
510967,27
510968,38
510969,08
510970,32
510971,28
510972,07
510973,28
510974,11
510975,20
510976,38
510977,16
510978,08
510979,17
510980,01
510981,02
510982,38
510983,01
510984,28
510985,01
510986,34
510987,01
510988,01
510989,07
510990,01
510991,16
510992,01
510993,01
510994,12
510995,28
510996,01
510997,28
510998,20
510999,15
511000,01
511001,11
511002,01
511003,01
511004,20
511005,01
511006,24
511007,07
511008,18
511009,27
511010,12
511011,14
511012,10
511013,01
511014,07
511015,32
511016,38
511017,20
511018,38
511019,12
511020,02
511021,24
511022,01
511023,33
511024,08
511025,01
511026,29
511027,38
511028,20
511029,01
511030,01
511031,01
511032,01
511033,01
511034,02
511035,33
511036,02
511037,23
511038,08
511039,01
511040,20
511041,16
511042,01
511043,01
511044,29
511045,10
511046,38
511047,01
511048,02
511049,27
511050,38
511051,38
511052,27
511053,32
511054,01
511055,08
511056,01
511057,07
511058,32
511059,01
511060,12
511061,33
511062,32
511063,16
511064,20
511065,32
511066,01
511067,01
511068,20
511069,32
511070,01
511071,01
511072,07
511073,01
511074,11
511075,10
511076,38
511077,33
511078,18
511079,20
511080,01
511081,07
511082,20
511083,24
511084,38
511085,01
511086,01
511087,32
511088,18
511089,38
511090,32
511091,33
511092,02
511093,01
511094,01
511095,10
511096,18
511097,01
511098,08
511099,12
511100,19
511101,08
511102,01
511103,07
511104,01
511105,01
511106,06
511107,01
511108,20
511109,08
511110,01
511111,01
511112,07
511113,29
511114,18
511115,38
511116,33
511117,02
511118,08
511119,20
511120,38
511121,36
511122,24
511123,07
511124,38
511125,01
511126,27
511127,01
511128,01
511129,34
511130,20
511131,02
511132,01
511133,07
511134,12
511135,01
511136,33
511137,09
511138,38
511139,38
511140,01
511141,07
511142,32
511143,01
511144,11
511145,01
511146,01
511147,01
511148,01
511149,01
511150,07
511151,01
511152,01
511153,13
511154,33
511155,38
511156,01
511157,17
511158,32
511159,08
511160,10
511161,07
511162,01
511163,07
511164,18
511165,01
511166,01
511167,33
511168,01
511169,28
511170,01
511171,23
511172,01
511173,11
511174,38
511175,10
511176,18
511177,07
511178,01
511179,38
511180,02
511181,01
511182,01
511183,20
511184,10
511185,01
511186,07
511187,01
511188,01
511189,38
511190,01
511191,20
511192,02
511193,28
511194,01
511195,10
511196,07
511197,01
511198,12
511199,01
511200,11
511201,01
511202,28
511203,32
511204,01
511205,02
511206,01
511207,18
511208,38
511209,01
511210,33
511211,07
511212,38
511213,38
511214,01
511215,20
511216,33
511217,01
511218,38
511219,27
511220,01
511221,02
511222,01
511223,01
511224,38
511225,01
511226,01
511227,18
511228,01
511229,28
511230,01
