Issue Date,Violation,Street,Location,Discounted Fine,Full Fine,Point
11/15/2021 12:00:00 AM,P17Too close to a traffic sign,Mayfair PL,"(49.8822, -97.1381)",52.5,70,
11/15/2021 12:00:00 AM,P17Too close to a traffic sign,Wentworth ST,"(49.8714, -97.1612)",52.5,70,
11/15/2021 12:00:00 AM,P16No Park,LOT128-960 THOMAS,"(49.8987, -97.0846)",52.5,70,
11/15/2021 12:00:00 AM,P13Fire Hydrant,Lloyd ST,"(49.873, -97.1171)",75,100,
11/15/2021 12:00:00 AM,P04Oversized Vehicle,Haggart AVE,"(49.9497, -97.2169)",52.5,70,
11/15/2021 12:00:00 AM,P04Oversized Vehicle,Haggart AVE,"(49.9498, -97.2169)",52.5,70,
11/15/2021 12:00:00 AM,P04Oversized Vehicle,Haggart AVE,"(0.0, 0.0)",52.5,70,
11/15/2021 12:00:00 AM,P04Oversized Vehicle,Haggart AVE,"(0.0, 0.0)",52.5,70,
11/15/2021 12:00:00 AM,P04Oversized Vehicle,Haggart AVE,"(49.9498, -97.2187)",52.5,70,
11/15/2021 12:00:00 AM,MP03-Rush Hour,Keewatin ST,,75,100,
11/15/2021 12:00:00 AM,MP16-No Park,William AVE W,,52.5,70,
11/15/2021 12:00:00 AM,P03Rush Hour,Osborne ST,"(49.8685, -97.1371)",75,100,
11/15/2021 12:00:00 AM,P03Rush Hour,Osborne ST,"(49.8624, -97.1323)",75,100,
11/15/2021 12:00:00 AM,MP06-No Stop,Logan AVE,,52.5,70,
11/15/2021 12:00:00 AM,MP16-No Park,William AVE W,,52.5,70,
