min sup = 0.001, min conf = 0.003

{Bannatyne AVE} -> {1} (conf: 0.492, supp: 0.015, lift: 1.496, conv: 1.321)
{1} -> {Bannatyne AVE} (conf: 0.047, supp: 0.015, lift: 1.496, conv: 1.016)
{Edmonton ST} -> {1} (conf: 0.528, supp: 0.011, lift: 1.607, conv: 1.422)
{1} -> {Edmonton ST} (conf: 0.032, supp: 0.011, lift: 1.607, conv: 1.012)
{Hargrave ST} -> {1} (conf: 0.505, supp: 0.014, lift: 1.537, conv: 1.356)
{1} -> {Hargrave ST} (conf: 0.044, supp: 0.014, lift: 1.537, conv: 1.016)
{Kennedy ST} -> {1} (conf: 0.547, supp: 0.013, lift: 1.666, conv: 1.483)
{1} -> {Kennedy ST} (conf: 0.041, supp: 0.013, lift: 1.666, conv: 1.017)
{McDermot AVE} -> {1} (conf: 0.521, supp: 0.015, lift: 1.584, conv: 1.400)
{1} -> {McDermot AVE} (conf: 0.046, supp: 0.015, lift: 1.584, conv: 1.018)
{P01} -> {1} (conf: 0.203, supp: 0.022, lift: 0.619, conv: 0.843)
{1} -> {P01} (conf: 0.067, supp: 0.022, lift: 0.619, conv: 0.956)
{William AVE} -> {1} (conf: 0.345, supp: 0.011, lift: 1.049, conv: 1.024)
{1} -> {William AVE} (conf: 0.033, supp: 0.011, lift: 1.049, conv: 1.002)
{38} -> {2} (conf: 0.212, supp: 0.013, lift: 1.116, conv: 1.028)
{2} -> {38} (conf: 0.066, supp: 0.013, lift: 1.116, conv: 1.007)
{P01} -> {2} (conf: 0.204, supp: 0.022, lift: 1.071, conv: 1.017)
{2} -> {P01} (conf: 0.117, supp: 0.022, lift: 1.071, conv: 1.009)
{3} -> {2013} (conf: 0.065, supp: 0.013, lift: 1.004, conv: 1.000)
{2013} -> {3} (conf: 0.197, supp: 0.013, lift: 1.004, conv: 1.001)
{4} -> {2013} (conf: 0.066, supp: 0.012, lift: 1.020, conv: 1.001)
{2013} -> {4} (conf: 0.180, supp: 0.012, lift: 1.020, conv: 1.004)
{3} -> {2014} (conf: 0.132, supp: 0.026, lift: 0.901, conv: 0.983)
{2014} -> {3} (conf: 0.177, supp: 0.026, lift: 0.901, conv: 0.976)
{33} -> {2014} (conf: 0.376, supp: 0.012, lift: 2.560, conv: 1.368)
{2014} -> {33} (conf: 0.084, supp: 0.012, lift: 2.560, conv: 1.056)
